"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1051","red",TRUE,0.00316,67,565,13,0.023,0.194,"GO:0002433","BP",4,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis",2,NA,10.6534639260821
"1052","red",TRUE,5.3e-05,33,565,11,0.019,0.333,"GO:0050764","BP",4,"regulation of phagocytosis",2,NA,7.06994498762601
"1053","red",TRUE,0.041,23,565,7,0.012,0.304,"GO:0050766","BP",4,"positive regulation of phagocytosis",2,NA,7.43458810121392
"1054","red",TRUE,0.00316,67,565,13,0.023,0.194,"GO:0038096","BP",4,"Fc-gamma receptor signaling pathway involved in phagocytosis",2,NA,10.6534639260821
"1055","red",TRUE,4.42e-11,314,565,45,0.08,0.143,"GO:0002520","BP",4,"immune system development",1,NA,4.32731445292702
"1056","red",TRUE,4.28e-10,295,565,42,0.074,0.142,"GO:0048534","BP",4,"hematopoietic or lymphoid organ development",2,NA,4.41905320036375
"1057","red",TRUE,4.65e-10,283,565,41,0.073,0.145,"GO:0030097","BP",4,"hemopoiesis",3,NA,4.4817633286712
"1058","red",TRUE,0.000108,147,565,22,0.039,0.15,"GO:0030099","BP",4,"myeloid cell differentiation",4,NA,5.21538461715892
"1059","red",TRUE,6.93e-09,183,565,31,0.055,0.169,"GO:0002521","BP",4,"leukocyte differentiation",4,NA,5.00448968792091
"1060","red",TRUE,0.0433,16,565,6,0.011,0.375,"GO:0097028","BP",4,"dendritic cell differentiation",5,NA,7.43458810121392
"1061","red",TRUE,0.00241,87,565,15,0.027,0.172,"GO:0002573","BP",4,"myeloid leukocyte differentiation",5,NA,5.90853179771887
"1062","red",TRUE,9.65e-06,9,565,7,0.012,0.778,"GO:0002507","BP",4,"tolerance induction",2,NA,7.88087520384234
"1063","red",TRUE,0.00277,1585,565,98,0.173,0.062,"GO:0051246","BP",4,"regulation of protein metabolic process",1,NA,3.0104602905214
"1064","red",TRUE,0.0164,371,565,33,0.058,0.089,"GO:2000145","BP",4,"regulation of cell motility",1,NA,4.32731445292702
"1065","red",TRUE,0.0144,352,565,32,0.057,0.091,"GO:0030334","BP",4,"regulation of cell migration",2,NA,4.37494250191627
"1066","red",TRUE,0.0433,16,565,6,0.011,0.375,"GO:0006911","BP",4,"phagocytosis, engulfment",1,NA,8.01440659646686
"1067","red",TRUE,0.000204,946,565,70,0.124,0.074,"GO:0051247","BP",4,"positive regulation of protein metabolic process",1,NA,3.56589022052414
"1068","red",TRUE,0.0168,888,565,61,0.108,0.069,"GO:0032270","BP",4,"positive regulation of cellular protein metabolic process",2,NA,3.68179532135633
"1069","red",TRUE,0.0388,40,565,9,0.016,0.225,"GO:0051250","BP",4,"negative regulation of lymphocyte activation",1,NA,6.40496868403276
"1070","red",TRUE,0.041,23,565,7,0.012,0.304,"GO:0050672","BP",4,"negative regulation of lymphocyte proliferation",2,NA,7.18772802328239
"1071","red",TRUE,0.000524,135,565,20,0.035,0.148,"GO:1903706","BP",4,"regulation of hemopoiesis",1,NA,5.246292154622
"1072","red",TRUE,0.000797,91,565,16,0.028,0.176,"GO:1902105","BP",4,"regulation of leukocyte differentiation",2,NA,5.68365062650612
"1073","red",TRUE,0.00623,82,565,14,0.025,0.171,"GO:0045637","BP",4,"regulation of myeloid cell differentiation",2,NA,5.83318236047708
"1074","red",TRUE,0.0388,40,565,9,0.016,0.225,"GO:0046427","BP",4,"positive regulation of JAK-STAT cascade",1,NA,6.34939883287795
"1075","red",TRUE,0.00659,25,565,8,0.014,0.32,"GO:0042108","BP",4,"positive regulation of cytokine biosynthetic process",1,NA,6.64613074084965
"1076","red",TRUE,0.0433,16,565,6,0.011,0.375,"GO:0097296","BP",4,"activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway",1,NA,10.6534639260821
"1077","red",TRUE,0.00121,72,565,14,0.025,0.194,"GO:0002576","BP",10,"platelet degranulation",1,NA,8.86170445685406
"1078","red",TRUE,0.0174,227,565,24,0.042,0.106,"GO:0051604","BP",6,"protein maturation",1,NA,8.25556865328375
"1079","red",TRUE,0.0174,14,565,6,0.011,0.429,"GO:0042554","BP",7,"superoxide anion generation",1,NA,7.94541372497991
"1080","red",TRUE,0.0126,54,565,11,0.019,0.204,"GO:0031091","CC",13,"platelet alpha granule",1,NA,7.48598663303963
"1081","red",TRUE,0.000364,11021,565,474,0.839,0.043,"GO:0005575","CC",1,"cellular_component",1,NA,0
